學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,101,45,56,8,9,9,11,13,11,5,9,3,6,2,4,5,6, -, -,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,39,15,24,8,8,1,6,4,8,2,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,218,78,140,19,36,16,33,18,27,18,29, -, -, -, -, -, -,7,15,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,48,14,34,3,10,6,10,2,8,3,6, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,80,28,52,7,16,9,17,8,10,1,7,3,2, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,54,5,49,3,11, -,14,2,14, -,10, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,27,15,12,2,1,2,3,4,1,4,1, -,1,1,2,2,3, -, -,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,26,12,14,5,3,2,2,2,5,3,4, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,25,18,7,5,1,2, -,2,1,2, -,2,2,4,1,1,2, -, -,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,58,45,13,10,1,9,4,13,3,12,5,1, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,173,92,81,20,27,22,21,22,13,18,14, -, -, -, -, -, -,10,6,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,19,12,7, -,3,2,1,3,1, -,1,1, -,4,1,2, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,54,36,18,8,6,7,4,10,5,11,3, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,18,7,11, -,2,1,1, -,2, -, -,3,1,1,2,2,3, -, -,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,19,10,9,4,1,4,3, -,3,2,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,180,80,100,25,22,18,22,12,27,14,22, -, -, -, -, -, -,11,7,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,30,21,9,4,1,3,2,1,1,2,2,4, -,3, -,4,3, -, -,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,48,35,13,10,5,7,4,11, -,7,4, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,190,104,86,22,29,30,20,20,14,24,13, -, -, -, -, -, -,8,10,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,25,11,14, -,2,6, -,1,1,1,5,1,1, -,4,2,1, -, -,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,70,15,55,4,16,5,17,3,16,3,6, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,272,75,197,19,43,18,41,17,40,13,52, -, -, -, -, -, -,8,21,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,28,5,23, -, -,1,15,1, -,2,6,1,2, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,22,8,14,2,4,2,6,3,2,1,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
